Resource.Property,Property Type,Optional/Required,Generator,Sample Data,Notes about Sample Data,Comments,Developer Comments,Status/State,Change Notes,Maps to HCIF Class.Property,HCIF Base Class,HCIF Release
ID,String,Required,"ID(""M-"")","""M-"" + Incremental 1- 6 million",,,,Approved,,,,7.21
pyLastName,String,Required,fake.last_name(),Random,,,,Approved,,,,7.21
pyFirstName,String,Optional,fake.first_name(),Random,,,,Approved,,,,7.21
pyMiddleName,String,Optional,fake.first_name(),Random,,,,Approved,,,,7.21
pySuffix,String,Optional,fake.suffix(),Random,,,,Approved,,,,7.21
Address().name,String,Optional,"fake.random_element(('Main', 'Summer', 'Old'))","Main, Summer, Old",,1 Member can have many addresses. eg: school this would be School Name,,Approved,,,,7.21
Address().address Line1,String,Optional,fake.street_address(),Random,,,,Approved,,,,7.21
Address().addressLine2,String,Optional,fake.secondary_address(),Random,,,,Approved,,,,7.21
Address().city,String,Optional,fake.city(),Random,,,,Approved,,,,7.21
Address().state,String,Optional,fake.state_abbr(),Random,,,,Approved,,,,7.21
Address().postalCode,String,Optional,fake.postcode(),Random,,,,Approved,,,,7.21
Address().country,String,Optional,fake.country(),US,,,,Approved,,,,7.21
Address().coordinates,Decimal,Optional,"[float(str(fake.longitude())),float(str(fake.latitude()))]",Random,,,,Approved,,,,7.21
location.type,String,Optional,"'points'",Random,,,,Approved,,,,7.21
location.coordinates,Decimal,Optional,"[float(str(fake.longitude())),float(str(fake.latitude()))]",Random,,,,Approved,,,,7.21
Address().type,String,Optional,"fake.random_element(('Main', 'Summer', 'Old'))","Main, Summer, Old",,,,Approved,,,,7.21
Address().Effective Date,date,Optional,fake.past_datetime(),Random,,,,Approved,,,,7.21
Address().End Date,date,Optional,"fake.future_datetime(end_date=""+3y"")",Random,,,,Approved,,,,7.21
Address().wheelchairAccess,boolean,Optional,fake.boolean(chance_of_getting_true=10),"True, False",,,,Approved,,,,7.21
Communication.PhoneCommunication().phoneNumber,String,Optional,fake.phone_number(),Random,,,,Approved,,,,7.21
Communication.PhoneCommunication().type,String,Optional,"fake.random_element(('Home', 'Work', 'Cell', 'Fax', 'Pager'))","Home, Work, Cell, Fax, Pager",,,,Approved,,,,7.21
Communication.EmailCommunication().emailAddress,String,Optional,fake.email(),Random,,,,Approved,,,,7.21
Communication.EmailCommunication().type,String,Optional,"fake.random_element(('Home', 'Work'))","Home, Work",,,,Approved,,,,7.21
Communication.SocialMediaCommunication().SocialMediaID,String,Optional,fake.user_name(),Random,,,,Approved,,,,7.21
Communication.SocialMediaCommunication().SocialMediaType,String,Optional,"fake.random_element(('Facebook', 'Academia.edu', 'Bebo', 'CaringBridge', 'GoodReads', 'DailyStrength', 'Google+'))","Facebook, Academia.edu, Bebo, CaringBridge, GoodReads, DailyStrength, Google+",,,,Approved,,,,7.21
SSN,String,Optional,fake.ssn(),Random,,,,Approved,,,,7.21
dateOfBirth,date,Required,fake.date_time(),Random,,,,Approved,,,,7.21
gender,String,Required,"fake.random_element(('Male', 'Female', 'Other'))","Male, Female, Other",,,,Approved,,,,7.21
ethnicity,String,Optional,"fake.random_element(('White', 'American Indian', 'Asian', 'Hispanic', 'African American'))","White, American Indian, Asian, Hispanic, African American",,,,Approved,,,,7.21
maritialStatus,String,Optional,"fake.random_element(('Married', 'Widow', 'Single'))","Married, Widow, Single",,,,Approved,,,,7.21
EffectiveDate,Date,Optional,fake.past_datetime(),Random,,,,Approved,,,,7.21
EndDate,Date,Optional,"fake.future_datetime(end_date=""+8y"")",Random,,,,Approved,,,,7.21
languages().ID,String,Optional,"fake.random_element(('Albanian', 'Farsi', 'Hindi', 'Korean', 'Polish', 'Spanish', 'Arabic', 'French', 'Hmong', 'Laotian', 'Portuguese', 'Tagalog', 'Armenian', 'German', 'Italian', 'Lithuanian', 'Punjabi', 'Thai', 'Bengali', 'Greek', 'Japanese', 'Malay', 'Romanian', 'Turkish', 'Burmese', 'Haitian Creole'))","Albanian,Farsi,Hindi,,Korean,Polish,Spanish,Arabic,French,Hmong,Laotian,Portuguese,Tagalog,Armenian,German,Italian,Lithuanian,Punjabi,Thai,Bengali,Greek,Japanese,Malay,Romanian,Turkish,Burmese,Haitian Creole",,Member can have many Languages and each Language can have many usages,,Approved,,,,7.21
languages().Usage,String,Optional,"fake.random_element(('Spoken', 'Reading', 'Writing', 'Native'))","Spoken, Reading, Writing, Native",,"Usage is: Indicator for Language Spoken, Language Reading, Language Writing, Language Native",,Approved,,,,7.21
CitizenshipStatusCode,String,Optional,"fake.random_element(('Native', 'Naturalised', 'Alien Permanent', 'Alien Temporary', 'Citizen', 'Foreign Worker', 'Permanent Resident', 'Foreigh ID Card Holder'))","Native, Naturalised, Alien Permanent, Alien Temporary, Citizen, Foreign Worker, Permanent Resident, Foreigh ID Card Holder",,Member citizenship status code,,Approved,,,,7.21
Disability().DisabilityPeriodStartDate,date,Optional,fake.past_datetime(),Random,,1 Member can have many disabilities,,Approved,,,,7.21
Disability().DisabilityPeriodEndDate,date,Optional,"fake.future_datetime(end_date=""+3y"")",Random,,,,Approved,,,,7.21
Disability().DisabilityTypeCode,String ,Optional,"fake.random_element(('Autism', 'Emotional Disability', 'Hearing Imparement', 'Intellectual Disability', 'Other Health Imparement', 'Traumatic Brain Injury', 'Visual Imparement'))","Autism, Emotional Disability, Hearing Imparement, Intellectual Disability, Other Health Imparement, Traumatic Brain Injury, Visual Imparement",,,,Approved,,,,7.21
Guardian().LastName,String ,Optional,fake.last_name(),Random,,1 Member can have many Guardians. Guardian can be person or a State can be traditional Guardian or Durable Power of Attorney,,Approved,,,,7.21
Guardian().FirstName,String ,Optional,fake.first_name(),Random,,,,Approved,,,,7.21
Guardian().Type,String ,Optional,"fake.random_element(('Natural', 'Legal', 'Medical', 'Custodial'))","Natural, Legal, Medical, Custodial",,,,Approved,,,,7.21
Guardian().Address.name,String,Optional,"fake.random_element(('Main', 'Summer', 'Old'))","Main, Summer, Old",,,,Approved,,,,7.21
Guardian().Address.addressLine1,String,Optional,fake.street_address(),Random,,Only Primary Address,,Approved,,,,7.21
Guardian().Address.addressLine2,String,Optional,fake.secondary_address(),Random,,,,Approved,,,,7.21
Guardian().Address.city,String,Optional,fake.city(),Random,,,,Approved,,,,7.21
Guardian().Address.state,String,Optional,fake.state_abbr(),Random,,,,Approved,,,,7.21
Guardian().Address.postalCode,String,Optional,fake.postcode(),Random,,,,Approved,,,,7.21
Guardian().Address.country,String,Optional,fake.country(),US,,,,Approved,,,,7.21
Guardian().Address.type,String,Optional,"fake.random_element(('Main', 'Summer', 'Old'))","Main, Summer, Old",,,,Approved,,,,7.21
Guardian().Address.Effective Date,date,Optional,fake.past_datetime(),Random,,,,Approved,,,,7.21
